run_ts,property_id,property_name,is_own,room_type,category,price_pw,offer_text,raw_text,source_url
2026-08-04T08:15:46+00:00,student_roost_st_mungos_ensuite,St Mungo's (Student Roost - our own) - En-suite,True,En-suite bronze,ensuite,179.0,,£179,https://www.studentroost.co.uk/locations/glasgow/st-mungos?modal=rooms-ensuite-st-mungos
2026-08-04T08:15:46+00:00,student_roost_st_mungos_ensuite,St Mungo's (Student Roost - our own) - En-suite,True,En-suite silver,ensuite,199.0,,£199,https://www.studentroost.co.uk/locations/glasgow/st-mungos?modal=rooms-ensuite-st-mungos
2026-08-04T08:15:46+00:00,student_roost_st_mungos_ensuite,St Mungo's (Student Roost - our own) - En-suite,True,En-suite gold,ensuite,209.0,,£209,https://www.studentroost.co.uk/locations/glasgow/st-mungos?modal=rooms-ensuite-st-mungos
2026-08-04T08:15:46+00:00,student_roost_st_mungos_studio,St Mungo's (Student Roost - our own) - Studio,True,Studio silver,studio,209.0,,£209,https://www.studentroost.co.uk/locations/glasgow/st-mungos?modal=rooms-studio-st-mungos
2026-08-04T08:15:46+00:00,student_roost_st_mungos_studio,St Mungo's (Student Roost - our own) - Studio,True,Studio gold,studio,237.0,,£237,https://www.studentroost.co.uk/locations/glasgow/st-mungos?modal=rooms-studio-st-mungos
2026-08-04T08:15:46+00:00,student_roost_st_mungos_studio,St Mungo's (Student Roost - our own) - Studio,True,Studio platinum,studio,275.0,,£275,https://www.studentroost.co.uk/locations/glasgow/st-mungos?modal=rooms-studio-st-mungos
2026-08-04T08:15:46+00:00,student_roost_st_mungos_studio,St Mungo's (Student Roost - our own) - Studio,True,Studio,studio,209.0,,£209,https://www.studentroost.co.uk/locations/glasgow/st-mungos?modal=rooms-studio-st-mungos
2026-08-04T08:15:46+00:00,student_roost_st_mungos_studio,St Mungo's (Student Roost - our own) - Studio,True,Studio bronze,studio,211.0,,£211,https://www.studentroost.co.uk/locations/glasgow/st-mungos?modal=rooms-studio-st-mungos
2026-08-04T08:15:46+00:00,abodus_st_james,St James (Abodus),False,Classic En-suite,ensuite,175.0,,"Available | Classic En-suite | Floors 1-6, shared kitchen, 13m² space, 7 bed Flats. | Prices from: £175.00 P/W | View Room",https://abodusstudents.com/accommodation/st-james-glasgow#the-rooms
2026-08-04T08:15:46+00:00,abodus_st_james,St James (Abodus),False,Premium En-suite,ensuite,195.0,,"Available | Premium En-suite | Upper-floor en-suite, shared kitchen, private bathroom, 13m², 7 Bed Flats. | Prices from: £195.00 P/W | View Room",https://abodusstudents.com/accommodation/st-james-glasgow#the-rooms
